link,link-href,text,1
Ecology,https://en.wikipedia.org/wiki/History_of_ecology,"The Gaia theory, propose by James Lovelock, in his work Gaia: A New Look at Life on Earth, advance the view that the Earth should be regard as a single living macro-organism. In particular, it argue that the ensemble of living organisms have jointly evolve an ability to control the global environment — by influence major physical parameters as the composition of the atmosphere, the evaporation rate, the chemistry of soils and oceans — so as to maintain conditions favorable to life. The idea have be support by Lynn Margulis who extend her endosymbiotic theory which suggest that cell organelles originate from free live organisms to the idea that individual organisms of many species could be consider as symbionts within a larger metaphorical `` super-organism''.[ 62]",0
Ancient history,https://en.wikipedia.org/wiki/Ancient_history,"The First Intermediate Period of Egypt of the 22nd century BC was followed by the Middle Kingdom of Egypt between the 21st to 17th centuries BC. The Sumerian Renaissance also developed c. the 21st century BC in Ur. Around the 18th century BC, the Second Intermediate Period of Egypt began.",1
Ancient Rome,https://en.wikipedia.org/wiki/Ancient_Rome,"Although barter be use in ancient Rome, and often use in tax collection, Rome have a very developed coinage system, with brass, bronze, and precious metal coins in circulation throughout the Empire and beyond—some have even be discover in India. Before the 3rd century BC, copper be trade by weight, measure in unmarked lumps, across central Italy. The original copper coins( as) have a face value of one Roman pound of copper, but weigh less. Thus, Roman money's utility as a unit of exchange consistently exceed its intrinsic value as metal. After Nero begin debase the silver denarius, its legal value be an estimate one-third greater than its intrinsic value.",0
Industrial Age,https://en.wikipedia.org/wiki/Industrial_Revolution,Oliver Evans invented an automated flour mill in the mid 1780s that used control mechanisms and conveyors so that no labour was needed from the time grain was loaded into the elevator buckets until flour was discharged into a wagon. This is considered to be the first modern materials handling system an important advance in the progress toward mass production.[45],1
Ancient history,https://en.wikipedia.org/wiki/Ancient_history,"By the end of the 2nd millennium BC, the Zhou Dynasty( 周朝) begin to emerge in the Yellow River valley, overrun the Shang. The Zhou appear to have begin their rule under a semi-feudal system. The ruler of the Zhou, King Wu, with the assistance of his brother, the Duke of Zhou, as regent manage to defeat the Shang at the Battle of Muye. The king of Zhou at this time invoke the concept of the Mandate of Heaven to legitimize his rule, a concept that would be influential for almost every successive dynasty. The Zhou initially move their capital west to an area near modern Xi'an, near the Yellow River, but they would preside over a series of expansions into the Yangtze River valley. This would be the first of many population migrations from north to south in Chinese history.",0
Transport,https://en.wikipedia.org/wiki/History_of_transport,"In the Industrial Revolution, John Loudon McAdam (1756–1836) designed the first modern highways, using inexpensive paving material of soil and stone aggregate (macadam), and he embanked roads a few feet higher than the surrounding terrain to cause water to drain away from the surface. With the development of motor transport there was an increased need for hard-topped roads to reduce washaways, bogging and dust on both urban and rural roads, originally using cobblestones and wooden paving in major western cities and in the early 20th century tar-bound macadam (tarmac) and concrete paving were extended into the countryside.",1
History of the Middle East,https://en.wikipedia.org/wiki/History_of_the_Middle_East,"At the same time, the failures of most of the Arab regimes and the bankruptcy of secular Arab radicalism lead a section of educate Arabs( and other Muslims) to embrace Islamism, promote both by the Shi'a clerics of Iran and by the powerful Wahhabist sect of Saudi Arabia. Many of the militant Islamists gain their military training while fight against the forces of the Soviet Union in Afghanistan[ dubious – discuss].",0
Economics,https://en.wikipedia.org/wiki/History_of_economic_thought,"William Pitt the Younger (1759–1806), Tory Prime Minister in 1783–1801 based his tax proposals on Smith's ideas, and advocated free trade as a devout disciple of The Wealth of Nations.[37] Smith was appointed a commissioner of customs and within twenty years Smith had a following of new generation writers who were intent on building the science of political economy.[30]",1
Film,https://en.wikipedia.org/wiki/History_of_film,"The year 1900 conveniently mark the emergence of the first motion pictures that can be consider as'films' – at this point, film-makers begin to introduce basic edit techniques and film narrative.[ 7]",0
Sport,https://en.wikipedia.org/wiki/History_of_sport,"Depictions of ritual sporting events are seen in the Minoan art of Bronze Age Crete, such as a fresco dating to 1500 BCE of gymnastics in the form of religious bull-leaping and possibly bullfighting. The origins of Greek sporting festivals may date to funeral games of the Mycenean period, between 1600 BCE and c. 1100 BCE.[17] In the Iliad there are extensive descriptions of funeral games held in honour of deceased warriors, such as those held for Patroclus by Achilles. Engaging in sport is described as the occupation of the noble and wealthy, who have no need to do manual labour themselves. In the Odyssey, king Odysseus of Ithaca proves his royal status to king Alkinoös of the Phaiakes by showing his proficiency in throwing the javelin. It was predictably in Greece that sports were first instituted formally, with the first Olympic Games recorded in 776 BCE in Olympia, where they were celebrated until 393 CE. The games were held every four years, or Olympiad, which became a unit of time in historical chronologies. Initially a single sprinting event, the Olympics gradually expanded to include several footraces, run in the nude or in armor, boxing, wrestling, pankration, chariot racing, long jump, javelin throw, and discus throw. During the celebration of the games, an Olympic Truce was enacted so that athletes could travel from their countries to the games in safety. The prizes for the victors were wreaths of laurel leaves. Other important sporting events in ancient Greece were the Isthmian games, the Nemean Games, and the Pythian Games. Together with the Olympics, these were the most prestigious games, and formed the Panhellenic Games. Some games, e.g. the Panathenaia of Athens, included musical, reading and other non-athletic contests in addition to regular sports events. The Heraean Games were the first recorded sporting competition for women, held in Olympia as early as the 6th century BCE.",1
Architecture,https://en.wikipedia.org/wiki/History_of_architecture,"Indian architecture encompass a wide variety of geographically and historically spread structures, and be transform by the history of the Indian subcontinent. The result be an evolve range of architectural production that, although it be difficult to identify a single representative style, nonetheless retain a certain amount of continuity across history. The diversity of Indian culture be represent in its architecture. It be a blend of ancient and varied native traditions, with building types, forms and technologies from West and Central Asia, as well as Europe. Architectural styles range from Hindu temple architecture to Islamic architecture to western classical architecture to modern and post-modern architecture.",0
Painting,https://en.wikipedia.org/wiki/History_of_painting,"Other major pioneers of early abstraction include Russian painter Kasimir Malevich, who after the Russian Revolution in 1917, and after pressure from the Stalinist regime in 1924 return to paint imagery and Peasants and Workers in the field, and Swiss painter Paul Klee whose masterful color experiments make him an important pioneer of abstract painting at the Bauhaus. Still other important pioneers of abstract paint include the Swedish artist Hilma af Klint, Czech painter František Kupka as well as American artists Stanton MacDonald-Wright and Morgan Russell who, in 1912, found Synchromism, an art movement that closely resemble Orphism.",0
Ancient Rome,https://en.wikipedia.org/wiki/Ancient_Rome,"The prosperity bring by Nerva and Trajan continue in the reigns of subsequent emperors, from Hadrian to Marcus Aurelius. Hadrian withdraw all the troops station in Parthia and Mesopotamia, abandon Trajan's conquests. Although face another revolt in Judea, Hadrian's government be very peaceful, since he avoid wars: he construct fortifications and walls, like the famous Hadrian's Wall between Roman Britain and the barbarians of modern-day Scotland.",0
Painting,https://en.wikipedia.org/wiki/History_of_painting,"Ancient Egypt, a civilization with very strong traditions of architecture and sculpture( both originally paint in bright colours) also have many mural paintings in temples and buildings, and paint illustrations on papyrus manuscripts. Egyptian wall painting and decorative painting be often graphic, sometimes more symbolic than realistic. Egyptian painting depicts figures in bold outline and flat silhouette, in which symmetry be a constant characteristic. Egyptian painting have close connection with its write language – call Egyptian hieroglyphs. Painted symbols be find amongst the first forms of write language. The Egyptians also paint on linen, remnants of which survive today. Ancient Egyptian paintings survive due to the extremely dry climate. The ancient Egyptians create paintings to make the afterlife of the decease a pleasant place. The themes include journey through the afterworld or their protective deities introduce the decease to the gods of the underworld. Some examples of such paintings be paintings of the gods and goddesses Ra, Horus, Anubis, Nut, Osiris and Isis. Some tomb paintings show activities that the decease be involve in when they be alive and wish to carry on do for eternity. In the New Kingdom and later, the Book of the Dead be bury with the entombed person. It be consider important for an introduction to the afterlife.",0
Age of Discovery,https://en.wikipedia.org/wiki/Age_of_Discovery,"Land be sight on 12 October 1492, and Columbus call the island( now The Bahamas) San Salvador, in what he think to be the `` West Indies''. Columbus also explore the northeast coast of Cuba( land on 28 October) and the northern coast of Hispaniola, by 5 December. He be receive by the native cacique Guacanagari, who give him permission to leave some of his men behind.",0
Ecology,https://en.wikipedia.org/wiki/History_of_ecology,"In 1856, the Park Grass Experiment be establish at the Rothamsted Experimental Station to test the effect of fertilizers and manures on hay yields. This be the longest-running field experiment in the world.[ 5]",0
South America,https://en.wikipedia.org/wiki/History_of_South_America,"The history of South America is the study of the past, particularly the written record, oral histories, and traditions, passed down from generation to generation on the continent of South America. South America has a history that has a wide range of human cultures and forms of civilization. The Norte Chico civilization in Peru is the oldest civilization in the Americas and one of the first six independent civilizations in the world; it was contemporaneous with the Egyptian pyramids. It predated the Mesoamerican Olmec by nearly two millennia.",1
Education,https://en.wikipedia.org/wiki/History_of_education,"The Thousand Character Classic, a Chinese poem originate in the 6th century, be use for more than a millennium as a primer for teach Chinese characters to children. The poem be compose of 250 phrases of four characters each, thus contain exactly one thousand unique characters, and be sing in the same way that children learn the Latin alphabet may use the `` alphabet song''.",0
Mathematics,https://en.wikipedia.org/wiki/History_of_mathematics,"As in most areas of study, the explosion of knowledge in the scientific age has led to specialization: by the end of the century there were hundreds of specialized areas in mathematics and the Mathematics Subject Classification was dozens of pages long.[144] More and more mathematical journals were published and, by the end of the century, the development of the world wide web led to online publishing.",1
Industrial Age,https://en.wikipedia.org/wiki/Industrial_Revolution,"By the 1820s a national network be in existence. Canal construction serve as a model for the organisation and methods later use to construct the railways. They be eventually largely supersede as profitable commercial enterprises by the spread of the railways from the 1840s on. The last major canal to be build in the United Kingdom be the Manchester Ship Canal, which upon open in 1894 be the largest ship canal in the world,[ 69] and open Manchester as a port. However it never achieve the commercial success its sponsors have hop for and signalled canals as a die mode of transport in an age dominate by railways, which be quicker and often cheaper.",0
Physics,https://en.wikipedia.org/wiki/History_of_physics,"About a decade later, in the midst of what be dub the `` Great Debate'', Hubble and Slipher discover the expansion of universe in the 1920s measure the redshifts of Doppler spectra from galactic nebulae. Using Einstein's general relativity, Lemaître and Gamow formulate what would become know as the big bang theory. A rival, call the steady state theory be devise by Hoyle, Gold, Narlikar and Bondi.",0
Painting,https://en.wikipedia.org/wiki/History_of_painting,"Additionally, Abstract expressionism have an image of be rebellious, anarchic, highly idiosyncratic and, some feel, rather nihilistic. In practice, the term be apply to any number of artists work( mostly) in New York who have quite different styles, and even apply to work which be not especially abstract nor expressionist. Pollock's energetic `` action paintings'', with their `` busy'' feel, be different both technically and aesthetically, to the violent and grotesque Women series of Willem de Kooning. As see above in the gallery Woman V be one of a series of six paintings make by de Kooning between 1950 and 1953 that depict a three-quarter-length female figure. He begin the first of these paintings, Woman I collection: The Museum of Modern Art, New York City, in June 1950, repeatedly change and paint out the image until January or February 1952, when the painting be abandon unfinished. The art historian Meyer Schapiro saw the painting in de Kooning's studio soon afterwards and encourage the artist to persist. De Kooning's response be to begin three other paintings on the same theme; Woman II collection: The Museum of Modern Art, New York City, Woman III, Tehran Museum of Contemporary Art, Woman IV, Nelson-Atkins Museum of Art, Kansas City, Missouri. During the summer of 1952, spend at East Hampton, de Kooning further explore the theme through drawings and pastels. He may have finish work on Woman I by the end of June, or possibly as late as November 1952, and probably the other three women pictures be conclude at much the same time.[ 58] The Woman series be decidedly figurative paintings. Another important artist be Franz Kline, as demonstrate by his painting High Street, 1950( see gallery) as with Jackson Pollock and other Abstract Expressionists, be label an `` action painter'' because of his seemingly spontaneous and intense style, focus less, or not at all, on figures or imagery, but on the actual brush strokes and use of canvas.",0
Astronomy,https://en.wikipedia.org/wiki/History_of_astronomy,"The origins of Western astronomy can be find in Mesopotamia, the `` land between the rivers'' Tigris and Euphrates, where the ancient kingdoms of Sumer, Assyria, and Babylonia be locate. A form of write know as cuneiform emerge among the Sumerians around 3500–3000 BC. Our knowledge of Sumerian astronomy be indirect, via the earliest Babylonian star catalogues date from about 1200 BC. The fact that many star names appear in Sumerian suggest a continuity reach into the Early Bronze Age. Astral theology, which give planetary gods an important role in Mesopotamian mythology and religion, begin with the Sumerians. They also use a sexagesimal( base 60) place-value number system, which simplify the task of record very large and very small numbers. The modern practice of divide a circle into 360 degrees, of 60 minutes each, begin with the Sumerians. For more information, see the articles on Babylonian numerals and mathematics.",0
Antarctica,https://en.wikipedia.org/wiki/History_of_Antarctica,"The obsession of the undiscovered continent culminated in the brain of Alexander Dalrymple, the brilliant and erratic hydrographer who was nominated by the Royal Society to command the Transit of Venus expedition to Tahiti in 1769. The command of the expedition was given by the admiralty to Captain James Cook. Sailing in 1772 with the Resolution, a vessel of 462 tons under his own command and the Adventure of 336 tons under Captain Tobias Furneaux, Cook first searched in vain for Bouvet Island, then sailed for 20 degrees of longitude to the westward in latitude 58° S, and then 30° eastward for the most part south of 60° S, a higher southern latitude than had ever been voluntarily entered before by any vessel. On 17 January 1773 the Antarctic Circle was crossed for the first time in history and the two ships reached 67° 15' S by 39° 35' E, where their course was stopped by ice.",1
Contemporary,https://en.wikipedia.org/wiki/Contemporary_philosophy,"Analytic and continental philosophy share a common Western philosophical tradition up to Immanuel Kant. Afterwards, analytic and continental philosophers differ on the importance and influence of subsequent philosophers on their respective traditions. For instance, the German idealism school developed out of the work of Kant in the 1780s and 1790s and culminated in Georg Wilhelm Friedrich Hegel, who is viewed highly by many continental philosophers. Conversely, Hegel is viewed as a relatively minor figure for the work of analytic philosophers.[citation needed]",1
Modern history,https://en.wikipedia.org/wiki/Modern_history,"Students can choose the subject at university. The material cover include from the mid-18th century, to analysis of the present day. Virtually all colleges and sixth forms that do teach modern history do it alongside standard history; very few teach the subject exclusively.",0
North America,https://en.wikipedia.org/wiki/History_of_North_America,"In order to understand what constitute as successful colonization, it be important to understand what colonization mean. Colonization refers to large-scale population movements, where the migrants maintain strong links with their or their ancestors' former country, gain significant privileges over other inhabitants of the territory by such links. When colonization take place under the protection of clearly colonial political structures, it may most handily be call settler colonialism. This often involve the settlers entirely dispossess earlier inhabitants, or institute legal and other structures which systematically disadvantage them.[ 22]",0
History of China,https://en.wikipedia.org/wiki/History_of_China,According to historian Mark Edward Lewis:,0
Contemporary,https://en.wikipedia.org/wiki/Contemporary_philosophy,"Not long after their formation, the Western Philosophical Association and portions of the American Psychological Association merged with the American Philosophical Association to create what is today the main professional organization for philosophers in the United States: the American Philosophical Association. The Association has three divisions - Pacific, Central and Eastern. Each division organises a large annual conference. The biggest of these is the Eastern Division Meeting, which usually attracts around 2,000 philosophers and takes place in a different east coast city each December. The Eastern Division Meeting is also the USA's largest recruitment event for philosophy jobs, with numerous universities sending teams to interview candidates for academic posts. Among its many other tasks, the association is responsible for administering many of the profession's top honors. For example, the Presidency of a Division of the American Philosophical Association is considered to be a professional honor and the American Philosophical Association Book Prize is one of the oldest prizes in philosophy. The largest academic organization devoted to specifically furthering the study of continental philosophy is the Society for Phenomenology and Existential Philosophy.",1
Eurasia,https://en.wikipedia.org/wiki/History_of_Eurasia,"The three regions of Western, Eastern and Southern Asia develop in a similar manner with each of the three regions develop early civilizations around fertile river valleys. The civilizations in Mesopotamia, the Indus Valley, and China( along the Yellow River and the Yangtze) share many similarities and likely exchange technologies and ideas such as mathematics and the wheel. Ancient Egypt also share this model. These civilizations be most likely in more or less regular contact with each other by the early versions of the silk road.",0
Europe,https://en.wikipedia.org/wiki/History_of_Europe,"Napoleon, despite his youth, was France's most successful general in the Revolutionary wars, having conquered large parts of Italy and forced the Austrians to sue for peace. In 1799 on 18 Brumaire (9 November) he overthrew the feeble government, replacing it with the Consulate, which he dominated. He gained popularity in France by restoring the Church, keeping taxes low, centralizing power in Paris, and winning glory on the battlefield. In 1804 he crowned himself Emperor. In 1805, Napoleon planned to invade Britain, but a renewed British alliance with Russia and Austria (Third Coalition), forced him to turn his attention towards the continent, while at the same time the French fleet was demolished by the British at the Battle of Trafalgar, ending any plan to invade Britain. On 2 December 1805, Napoleon defeated a numerically superior Austro-Russian army at Austerlitz, forcing Austria's withdrawal from the coalition (see Treaty of Pressburg) and dissolving the Holy Roman Empire. In 1806, a Fourth Coalition was set up. On 14 October Napoleon defeated the Prussians at the Battle of Jena-Auerstedt, marched through Germany and defeated the Russians on 14 June 1807 at Friedland. The Treaties of Tilsit divided Europe between France and Russia and created the Duchy of Warsaw.",1
Africa,https://en.wikipedia.org/wiki/History_of_Africa,"During the Vandalic War, Belisarius, general of the Byzantine emperor Justinian I base in Constantinople, land in North Africa in 533 with 16,000 men and within a year destroy the Vandal Kingdom. Local opposition delay full Byzantine control of the region for twelve years, however, and when imperial control come, it be but a shadow of the control exercise by Rome. Although an impressive series of fortifications be build, Byzantine rule be compromise by official corruption, incompetence, military weakness, and lack of concern in Constantinople for African affairs, which make it an easy target for the Arabs during the Early Muslim conquests. As a result, many rural areas revert to Berber rule.[ citation need]",0
Antarctica,https://en.wikipedia.org/wiki/History_of_Antarctica,"The Australasian Antarctic Expedition took place between 1911-1914 and was led by Sir Douglas Mawson. It concentrated on the stretch of Antarctic coastline between Cape Adare and Mount Gauss, carrying out mapping and survey work on coastal and inland territories.",1
Scientific method,https://en.wikipedia.org/wiki/History_of_scientific_method,"The question of how science operates and therefore how to distinguish genuine science from pseudoscience has importance well beyond scientific circles or the academic community. In the judicial system and in public policy controversies, for example, a study's deviation from accepted scientific practice is grounds for rejecting it as junk science or pseudoscience. However, the high public perception of science means that pseuodoscience is widespread. An advertisement in which an actor wears a white coat and product ingredients are given Greek or Latin sounding names is intended to give the impression of scientific endorsement. Richard Feynman has likened pseudoscience to cargo cults in which many of the external forms are followed, but the underlying basis is missing. Fringe or alternative theories often present themselves with a pseudoscientific appearance.[citation needed]",1
Medicine,https://en.wikipedia.org/wiki/History_of_medicine,"The Nightingale model was widely copied. Linda Richards (1841 – 1930) studied in London and became the first professionally trained American nurse. She established nursing training programs in the United States and Japan, and created the first system for keeping individual medical records for hospitalized patients.[99] The Russian Orthodox Church sponsored seven orders of nursing sisters in the late 19th century. They ran hospitals, clinics, almshouses, pharmacies, and shelters as well as training schools for nurses. In the Soviet era (1917–1991), with the aristocratic sponsors gone, nursing became a low-prestige occupation based in poorly maintained hospitals.[100]",1
Ancient Rome,https://en.wikipedia.org/wiki/Ancient_Rome,"Foreign dominance led to internal strife. Senators became rich at the provinces' expense; soldiers, who were mostly small-scale farmers, were away from home longer and could not maintain their land; and the increased reliance on foreign slaves and the growth of latifundia reduced the availability of paid work.[43][44]",1
Contemporary,https://en.wikipedia.org/wiki/Contemporary_philosophy,"Concerning continental philosophy specifically, a 2012 survey of mostly professional philosophers ask them to rank the highest quality `` continental tradition'' philosophy journals in English. Listing the survey's top 6 results:",0
History of Mesoamerica,https://en.wikipedia.org/wiki/Mesoamerican_chronology,"In the Maya region, Tikal, an ally of Teotihuacan, experienced a decline, the so-called Tikal Hiatus, after being defeated by Dos Pilas, and Caracol, ally of Calakmul, lasted about another 100 years. During this hiatus, the cities of Dos Pilas, Piedras Negras, Caracol, Calakmul, Palenque, Copán, and Yaxchilán were consolidated. These and other city-states of the region found themselves involved in bloody wars with changing alliances, until Tikal defeated, in order, Dos Pilas, Caracol, with the help of Yaxha and El Naranjo, Waka, Calakmul's last ally, and finally Calakmul itself, an event that took place in 732 with the sacrifice of Yuknom Cheen's son in Tikal. That led to construction of monumental architecture in Tikal, from 740 to 810; the last date documented there was 899. The ruin of the Classic Maya civilization in the northern lowlands, begun at La Passion states such as Dos Pilas, Aguateca, Ceibal and Cancuen, circa 760, followed by the Usumacinta system cities of Yaxchilan, Piedras Negras, and Palenque, following a path from south to north.",1
English,https://en.wikipedia.org/wiki/English_language,"For the expression of mood, English use a number of modal auxiliaries, such as can, may, will, shall and the past tense forms could, might, would, should. There be also a subjunctive and an imperative mood, both base on the plain form of the verb( i.e. without the third person singular -s), and which be use in subordinate clauses( e.g. subjunctive: It be important that he run every day; imperative Run!).[ 179]",0
History of the Middle East,https://en.wikipedia.org/wiki/History_of_the_Middle_East,"Africa be revive, however, as more organized and centralized states begin to form in the later Middle Ages after the Renaissance of the 12th century. Motivated by religion and dreams of conquest, the kings of Europe launch a number of Crusades to try to roll back Muslim power and retake the Holy Land. The Crusades be unsuccessful in this goal, but they be far more effective in weaken the already totter Byzantine Empire that begin to lose increase amounts of territory to the Ottoman Turks. They also rearrange the balance of power in the Muslim world as Egypt once again emerge as a major power in the eastern Mediterranean.",0
Anthropology,https://en.wikipedia.org/wiki/History_of_anthropology,"Tylor advocate strongly for unilinealism and a form of `` uniformity of mankind''.[ 39] Tylor in particular lay the groundwork for theories of cultural diffusionism, state that there be three ways that different groups can have similar cultural forms or technologies: `` independent invention, inheritance from ancestors in a distant region, transmission from one race[ sic] to another. ``[ 40]",0
Australia,https://en.wikipedia.org/wiki/History_of_Australia,"Matra's plan provide the original blueprint for settlement.[ 107] Records show the government be consider it in 1784.[ 108] The London newspapers announce in November 1784 that: `` A plan have be present to the[ Prime] Minister, and be now before the Cabinet, for institute a new colony in New Holland. In this vast tract of land ... .every sort of produce and improvement of which the various soils of the earth be capable, may be expect''.[ 109] The Government also incorporate the settlement of Norfolk Island into their plan, with its attractions of timber and flax, propose by Banks' Royal Society colleagues, Sir John Call and Sir George Young.[ 110]",0
In Classical Antiquity,https://en.wikipedia.org/wiki/History_of_science_in_Classical_Antiquity,"In medicine, Herophilos (335–280 BC) was the first to base his conclusions on dissection of the human body and to describe the nervous system.",1
Asia,https://en.wikipedia.org/wiki/History_of_Asia,"In Nyaunggan, Burma bronze tools have be excavate along with ceramics and stone artifacts. Dating be still currently broad( 3500–500 BCE).",0
History of China,https://en.wikipedia.org/wiki/History_of_China,"The Qing dynasty( 1644–1911) be the last imperial dynasty in China. Founded by the Manchus, it be the second conquest dynasty to rule the entire territory of China and its people. The Manchus be formerly know as Jurchens, reside in the northeastern part of the Ming territory outside the Great Wall. They emerge as the major threat to the late Ming dynasty after Nurhaci unite all Jurchen tribes and establish an independent state. However, the Ming dynasty would be overthrow by Li Zicheng's peasants rebellion, with Beijing capture in 1644 and the Chongzhen Emperor, the last Ming emperor, commit suicide. The Manchus ally with the former Ming general Wu Sangui to seize Beijing, which be make the capital of the Qing dynasty, and then proceed to subdue the Ming remnants in the south. The decades of Manchu conquest cause enormous loss of lives and the economic scale of China shrink drastically. In total, the Qing conquest of the Ming( 1618–1683) cost as many as 25 million lives.[ 42] Nevertheless, the Manchus adopt the Confucian norms of traditional Chinese government in their rule and be consider a Chinese dynasty.",0
Ancient Rome,https://en.wikipedia.org/wiki/Ancient_Rome,"Augustus also continue the shifts on the calendar promote by Caesar, and the month of August be name after him.[ 70] Augustus bring a peaceful and thrive era to Rome, know as Pax Augusta or Pax Romana. Augustus die in 14 AD, but the empire's glory continue after his era.",0
Africa,https://en.wikipedia.org/wiki/History_of_Africa,"In the early 15th century Ethiopia seek to make diplomatic contact with European kingdoms for the first time since Aksumite times. A letter from King Henry IV of England to the Emperor of Abyssinia survives.[ 99] In 1428, the Emperor Yeshaq I send two emissaries to Alfonso V of Aragon, who send return emissaries who fail to complete the return trip.[ 100]",0
Education,https://en.wikipedia.org/wiki/History_of_education,"During the Zhou Dynasty (1045 BC to 256 BC), there were five national schools in the capital city, Pi Yong (an imperial school, located in a central location) and four other schools for the aristocrats and nobility, including Shang Xiang. The schools mainly taught the Six Arts: rites, music, archery, charioteering, calligraphy, and mathematics. According to the Book of Rituals, at age twelve, boys learned arts related to ritual (i.e. music and dance) and when older, archery and chariot driving. Girls learned ritual, correct deportment, silk production and weaving.[28][29]",1
Linguistics,https://en.wikipedia.org/wiki/History_of_linguistics,"This body of work become know in 19th-century Europe, where it influence modern linguistics initially through Franz Bopp, who mainly look at Pāṇini. Subsequently, a wider body of work influence Sanskrit scholars such as Ferdinand de Saussure, Leonard Bloomfield, and Roman Jakobson. Frits Staal[ 7] discuss the possible European impact of Indian ideas on language. After outline the various aspects of the contact, Staal posit the theory that the idea of formal rules in language, first propose by de Saussure in 1894, and finally develop by Chomsky in 1957, base on which formal rules be also introduce in computational languages, may indeed lie in the European exposure to the formal rules of Paninian grammar. In particular, de Saussure, who lecture on Sanskrit for three decades, may have be influence by Pāṇini and Bhartrihari; his idea of the unity of signifier-signified in the sign be somewhat similar to the notion of Sphoṭa. More importantly, the very idea that formal rules can be apply to areas outside of logic or mathematics, may itself have be catalyze by Europe's contact with the work of Sanskrit grammarians.",0
History of Mesoamerica,https://en.wikipedia.org/wiki/Mesoamerican_chronology,The exact causes of the Olmec decline are unknown.,1
Africa,https://en.wikipedia.org/wiki/History_of_Africa,"The Mutapa Empire continue in the north under the mwenemutapa line. During the 16th century the Portuguese be able to establish permanent markets up the Zambezi River in an attempt to gain political and military control of Mutapa. They be partially successful. In 1628, a decisive battle allow them to put a puppet mwanamutapa name Mavura, who sign treaties that give favorable mineral export rights to the Portuguese. The Portuguese be successful in destroy the mwanamutapa system of government and undermining trade. By 1667, Mutapa be in decay. Chiefs would not allow dig for gold because of fear of Portuguese theft, and the population decline.[ 130]",0
In early cultures,https://en.wikipedia.org/wiki/History_of_science_in_early_cultures,"Astronomy is a science that lends itself to the recording and study of observations: the vigorous notings of the motions of the stars, planets, and the moon are left on thousands of clay tablets created by scribes. Even today, astronomical periods identified by Mesopotamian scientists are still widely used in Western calendars: the solar year, the lunar month, the seven-day week. Using these data they developed arithmetical methods to compute the changing length of daylight in the course of the year and to predict the appearances and disappearances of the Moon and planets and eclipses of the Sun and Moon. Only a few astronomers' names are known, such as that of Kidinnu, a Chaldean astronomer and mathematician who was contemporary with the Greek astronomers. Kiddinu's value for the solar year is in use for today's calendars. Astronomy and astrology were considered to be the same thing, as evidenced by the practice of this science in Babylonia by priests. Indeed, rather than following the modern trend towards rational science, moving away from superstition and belief, the Mesopotamian astronomy conversely became more astrology-based later in the civilisation - studying the stars in terms of horoscopes and omens, which might explain the popularity of the clay tablets. Hipparchus was to use this data to calculate the precession of the Earth's axis. Fifteen hundred years after Kiddinu, Al-Batani, born in what is now Turkey, would use the collected data and improve Hipparchus' value for the precession of the Earth's axis. Al-Batani's value, 54.5 arc-seconds per year, compares well to the current value of 49.8 arc-seconds per year (26,000 years for Earth's axis to round the circle of nutation).",1
Money,https://en.wikipedia.org/wiki/History_of_money,"Anatolian obsidian as a raw material for stone-age tools was distributed as early as 15,000 BCE, with organized trade occurring in the 9th millennium. (Cauvin;Chataigner 1998)[10] In Sardinia, one of the four main sites for sourcing the material deposits of obsidian within the Mediterranean, trade in this was replaced in the 3rd millennium by trade in copper and silver.[11][12][13][14]",1
Scientific Revolution,https://en.wikipedia.org/wiki/Scientific_revolution,"The concept of a scientific revolution taking place over an extended period emerged in the eighteenth century in the work of Jean Sylvain Bailly, who saw a two-stage process of sweeping away the old and establishing the new.[7] The beginning of the scientific revolution, the Scientific Renaissance, was focused on the recovery of the knowledge of the ancients; this is generally considered to have ended in 1632 with publication of Galileo's Dialogue Concerning the Two Chief World Systems.[8] The completion of the scientific revolution is attributed to the ""grand synthesis"" of Isaac Newton's 1687 Principia, that formulated the laws of motion and universal gravitation, and completed the synthesis of a new cosmology.[9] By the end of the 18th century, the scientific revolution had given way to the ""Age of Reflection.""",1
Political science,https://en.wikipedia.org/wiki/History_of_political_science,Other important figures in American politics who participate in the Enlightenment be Benjamin Franklin and Thomas Jefferson.,0
History of India,https://en.wikipedia.org/wiki/History_of_India,"There be several other kingdoms which rule over parts of India in the later medieval period prior to the British occupation. However, most of them be bind to pay regular tribute to the Marathas.[ 321] The rule of Wodeyar dynasty which establish the Kingdom of Mysore in southern India in around 1400 CE by be interrupt by Hyder Ali and his son Tipu Sultan in the later half of the 18th century. Under their rule, Mysore fight a series of wars sometimes against the combined forces of the British and Marathas, but mostly against the British, with Mysore receive some aid or promise of aid from the French.",0
